row_id,character,unicode_codepoint,scope,candidate_structure_label,candidate_decomposition,direct_component_candidates,radical,standard_evidence_status,existing_score,existing_max,component_validity_score,component_validity_status,radical_validity_score,radical_validity_status,structure_first_decomposition_score,structure_first_decomposition_status,newly_assigned_score,assigned_score,formal_total,row_score_status,remaining_blocked_items,cnbe_write_status,database_rebuild_status,review_notice
8105_core_control_067,腠,U+8160,8105_national_standard_core,左右,⿰⺼奏,奏,⺼,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_068,舶,U+8236,8105_national_standard_core,左右,⿰舟白,白 舟,舟,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_069,苓,U+82D3,8105_national_standard_core,上下,⿱艹令,艹 令,艹,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_070,荠,U+8360,8105_national_standard_core,上下,⿱艹齐,艹 齐,艹,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_071,萌,U+840C,8105_national_standard_core,上下,⿱艹明,明 艹,艹,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_072,蓝,U+84DD,8105_national_standard_core,上下,⿱艹监,艹 监,艹,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_073,蘅,U+8605,8105_national_standard_core,上下,⿱艹衡,衡 艹,艹,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_074,蛱,U+86F1,8105_national_standard_core,左右,⿰虫夹,夹 虫,虫,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_075,蟋,U+87CB,8105_national_standard_core,左右,⿰虫悉,悉 虫,虫,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_076,裘,U+88D8,8105_national_standard_core,上下,⿱求衣,求 衣,衣,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_077,訇,U+8A07,8105_national_standard_core,右上包,⿹勹言,言 勹,言,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_078,诨,U+8BE8,8105_national_standard_core,左右,⿰讠军,讠 军,讠,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_079,豌,U+8C4C,8105_national_standard_core,左右,⿰豆宛,豆 宛,豆,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_080,赛,U+8D5B,8105_national_standard_core,上下,⿱宀⿱?贝,贝 宀,贝,REVIEW_REQUIRED,6,6,0,NOT_SCORABLE_COMPONENT_EVIDENCE_GAP,0,NOT_SCORABLE_RADICAL_EVIDENCE_GAP,0,NOT_SCORABLE_STRUCTURE_DECOMPOSITION_EVIDENCE_GAP,0,6,50,PARTIAL_SCORE_ONLY_REMAINING_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_081,踟,U+8E1F,8105_national_standard_core,左右,⿰足知,知 足,足,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_082,轾,U+8F7E,8105_national_standard_core,左右,⿰车至,车 至,车,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_083,适,U+9002,8105_national_standard_core,左下包,⿺辶舌,辶 舌,辶,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_084,邯,U+90AF,8105_national_standard_core,左右,⿰甘阝,甘 阝,阝,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_085,酝,U+915D,8105_national_standard_core,左右,⿰酉云,酉 云,酉,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_086,钔,U+9494,8105_national_standard_core,左右,⿰钅门,门 钅,钅,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_087,铬,U+94EC,8105_national_standard_core,左右,⿰钅各,各 钅,钅,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_088,锿,U+953F,8105_national_standard_core,左右,⿰钅哀,哀 钅,钅,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_089,阄,U+9604,8105_national_standard_core,上三包,⿵门龟,门 龟,门,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_090,障,U+969C,8105_national_standard_core,左右,⿰阝章,章 阝,阝,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_091,鞋,U+978B,8105_national_standard_core,左右,⿰革圭,革 圭,革,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_092,飑,U+98D1,8105_national_standard_core,左下包,⿺风包,包 风,风,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_093,驸,U+9A78,8105_national_standard_core,左右,⿰马付,马 付,马,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_094,鬣,U+9B23,8105_national_standard_core,上下,⿱髟巤,髟 巤,髟,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_095,鲼,U+9CBC,8105_national_standard_core,左右,⿰鱼贲,鱼 贲,鱼,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_096,鹋,U+9E4B,8105_national_standard_core,左右,⿰苗鸟,苗 鸟,鸟,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_097,黻,U+9EFB,8105_national_standard_core,左右,⿰黹犮,犮 黹,黹,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_098,𨱔,U+28C54,8105_national_standard_core,,,,,REVIEW_REQUIRED,6,6,0,NOT_SCORABLE_COMPONENT_EVIDENCE_GAP,0,NOT_SCORABLE_RADICAL_EVIDENCE_GAP,0,NOT_SCORABLE_STRUCTURE_DECOMPOSITION_EVIDENCE_GAP,0,6,50,PARTIAL_SCORE_ONLY_REMAINING_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_099,𬒈,U+2C488,8105_national_standard_core,,,,,REVIEW_REQUIRED,6,6,0,NOT_SCORABLE_COMPONENT_EVIDENCE_GAP,0,NOT_SCORABLE_RADICAL_EVIDENCE_GAP,0,NOT_SCORABLE_STRUCTURE_DECOMPOSITION_EVIDENCE_GAP,0,6,50,PARTIAL_SCORE_ONLY_REMAINING_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_100,𬺓,U+2CE93,8105_national_standard_core,,,,,REVIEW_REQUIRED,6,6,0,NOT_SCORABLE_COMPONENT_EVIDENCE_GAP,0,NOT_SCORABLE_RADICAL_EVIDENCE_GAP,0,NOT_SCORABLE_STRUCTURE_DECOMPOSITION_EVIDENCE_GAP,0,6,50,PARTIAL_SCORE_ONLY_REMAINING_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
