row_id,character,unicode_codepoint,decimal_codepoint,scope,standard_level,standard_rank,source_level,proposed_cnbe32,proposed_cnbe32_status,candidate_structure_label,candidate_structure_status,candidate_decomposition,candidate_decomposition_status,direct_component_candidates,character_component_candidates,non_character_component_candidates,unknown_component_candidates,basic_component_candidates,component_source,radical,radical_status,stroke_count,stroke_order,stroke_order_status,gf0017_existing_score,gf0017_existing_max,gf0017_formal_total,gf0017_new_points_assigned,dictionary_context_status,kangxi_volume,kangxi_excerpt,zhonghua_excerpt,wiki_context_status,candidate_status,standard_evidence_status,blocked_items,review_status,cnbe_write_status,database_rebuild_status,agent_version
8105_core_control_001,㑇,U+3447,13383,8105_national_standard_core,三级,6602,national_standard_then_core_reference_then_network_cross_reference,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,,NOT_FINAL_STRUCTURE_LABEL,,DECOMPOSITION_REVIEW_REQUIRED,,,,,㑇,8105_encoding_comparison.standard.components; GF 0014-2009 现代常用字部件及部件名称规范 + yuanliu_chars.json IDS分解,,RADICAL_STANDARD_SOURCE_CHECK_REQUIRED,7,3 2 3 5 5 1 1,PASS_STANDARD_DERIVED_STROKE_ORDER,6,6,50,0,NO_DICTIONARY_CONTEXT,,,,NO_WIKI_CONTEXT,STANDARDIZER_EVIDENCE_GAP,REVIEW_REQUIRED,NO_COMPONENT_OR_DICTIONARY_CONTEXT;FINAL_STRUCTURE_LABEL_NOT_ASSIGNED;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,CNBE 8105 bounded standardizer pilot v2-no-legacy-structure
8105_core_control_002,三,U+4E09,19977,8105_national_standard_core,一级,22,national_standard_then_core_reference_then_network_cross_reference,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,上下,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,⿱一二,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,一 二,一 二,,,一,8105_encoding_comparison.standard.components; GF 0014-2009 现代常用字部件及部件名称规范 + yuanliu_chars.json IDS分解,一,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,3,1 1 1,PASS_STANDARD_DERIVED_STROKE_ORDER,6,6,50,0,HAS_DICTIONARY_CONTEXT,【子集上】【一字部】,〔古文〕弎【唐韻】【集韻】【韻會】蘇甘切【正韻】蘇監切，𡘋颯平聲。【說文】三，天地人之道也。謂以陽之一合隂之二，次第重之，其數三也。【老子·道德經】一生二，二生三，三生萬物。【史記·律書】數始於一，終於十，成於三。又【周禮·冬官考工記】凡兵無過三其身。又【左傳·昭七年】士文伯曰：政不可不愼，務三而已。一擇人，二因民，三從時。又【晉語】民生於三，事之如一...,1、三讀音：蘇甘切，音嬖，覃韻。釋文： ❶天地人之道也。見《說文》。 　〔按～兼陰陽之數言。老子曰。一生二。二生～。～生萬物。此釋～之義。或曰一耦二爲～。卽以一儷二也。～畫而～才之道在焉。故曰天地人。又史記律書。數始於一。終於十。成於～。蓋謂以陽之一。合陰之二。次第重之。以成～數也〕。 ❷終也。《太玄進》：～歲不還。 ❸東方謂之～。《素問五常政大論》：...,NO_WIKI_CONTEXT,CANDIDATE_COMPONENTS_WITH_DICTIONARY_CONTEXT_REVIEW_REQUIRED,COMPLETE,FINAL_STRUCTURE_LABEL_NOT_ASSIGNED;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,CNBE 8105 bounded standardizer pilot v2-no-legacy-structure
8105_core_control_004,伥,U+4F25,20261,8105_national_standard_core,二级,3607,national_standard_then_core_reference_then_network_cross_reference,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,左右,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,⿰亻长,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,亻 长,长,亻,,亻 一,8105_encoding_comparison.standard.components; GF 0014-2009 现代常用字部件及部件名称规范 + yuanliu_chars.json IDS分解,亻,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,6,3 2 3 1 5 4,PASS_STANDARD_DERIVED_STROKE_ORDER,6,6,50,0,NO_DICTIONARY_CONTEXT,【子集中】【人字部】,【廣韻】褚羊切，音䓪。【說文】狂也。一曰仆也。又狂行不知所如也。【禮·仲尼燕居】瞽者無相，倀倀乎其何之。　又倀鬼，虎齧人，人死，魂不敢他適，輒隷事虎，名曰倀。【聽雨記談】人遇虎，衣帶自解，皆別寘於地。虎見人躶，而後食之，皆倀所爲。倀可謂鬼之愚者也。　又【集韻】仲良切，音長。義同。　又除庚切，音棖。獨立貌。　又【廣韻】【集韻】𠀤豬孟切，音趟。【廣韻】萌倀...,,HAS_WIKI_CONTEXT,CANDIDATE_COMPONENTS_REVIEW_REQUIRED,COMPLETE,FINAL_STRUCTURE_LABEL_NOT_ASSIGNED;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,CNBE 8105 bounded standardizer pilot v2-no-legacy-structure
8105_core_control_005,侵,U+4FB5,20405,8105_national_standard_core,一级,1574,national_standard_then_core_reference_then_network_cross_reference,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,左右,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,⿰亻⿳彐冖又,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,亻 彐 又 冖,又,亻 彐 冖,,亻 一 又 冖,8105_encoding_comparison.standard.components; GF 0014-2009 现代常用字部件及部件名称规范 + yuanliu_chars.json IDS分解,亻,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,9,3 2 5 1 1 4 5 5 4,PASS_STANDARD_DERIVED_STROKE_ORDER,6,6,50,0,HAS_DICTIONARY_CONTEXT,【子集中】【人字部】,【唐韻】【正韻】七林切【集韻】【韻會】千尋切，𠀤音駸。【說文】漸進也。　又朘削也。【春秋·胡傳】聲罪緻討曰伐，潛師掠境曰侵。又【周禮·大司馬】負固不服則侵之。　又侵尋。【史記·武帝紀】天子始巡郡縣，侵尋於泰山。【封禪書】作浸尋。【郊祀志】作寢尋。義同。　又歲凶。【穀梁傳·襄二十四年】五穀不登，謂之大侵。【韓詩外傳】一穀不升曰歉，二穀不升曰饑，三穀不升曰...,1、侵讀音：千尋切，音駸，侵韻。釋文： ❶漸進也。見《說文》。 ❷陵也。《書大傳》：六伐旣～。 ❸犯也。《國語楚語》：無相～瀆。 ❹枉法行事也。《管子七臣七主》：～臣事小察以折法令。 　〔注〕：枉法行事謂之～。 ❺朘削也。《漢書地理志》：又爲諸侯所～。 ❻凡師有鐘鼓曰伐。無曰～。見《左莊二十九年傳》。 　〔又〕：觕者曰～。精者曰伐。見《公羊莊十年傳》。...,NO_WIKI_CONTEXT,CANDIDATE_COMPONENTS_WITH_DICTIONARY_CONTEXT_REVIEW_REQUIRED,COMPLETE,FINAL_STRUCTURE_LABEL_NOT_ASSIGNED;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,CNBE 8105 bounded standardizer pilot v2-no-legacy-structure
8105_core_control_006,偶,U+5076,20598,8105_national_standard_core,一级,2328,national_standard_then_core_reference_then_network_cross_reference,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,左右,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,⿰亻禺,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,亻 禺,禺,亻,,亻 一 口 厶 冂,8105_encoding_comparison.standard.components; GF 0014-2009 现代常用字部件及部件名称规范 + yuanliu_chars.json IDS分解,亻,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,11,3 2 2 5 1 1 2 5 2 1 4,PASS_STANDARD_DERIVED_STROKE_ORDER,6,6,50,0,HAS_DICTIONARY_CONTEXT,【子集中】【人字部】,【唐韻】五口切【韻會】語口切，𠀤音耦。凡數，雙曰偶，隻曰奇。【禮·郊特牲】鼎俎奇而籩豆偶，隂陽之義也。又【爾雅·釋詁】合也。【註】謂對合也。又牉合也。【賈誼·五餌】言偶人無時。【韓詩】言不失時，以偶爲牉合也。又【家語】聖人因時，以合偶男女。　又儕輩曰偶。【前漢·黥布傳】率其曹偶，亡之江中。　又適然也。【列子·楊朱篇】鄧析謂子產曰：鄭國之治偶耳，非子之功...,1、偶讀音：語口切，音耦，有韻。釋文： ❶桐人也。見《說文》。《段注》：木～之～。與二枱並耕之耦義迥別。凡言人耦、射耦、嘉耦、怨耦。皆取耦耕之意。而無取桐人之意也。今皆作～。則失古意矣。又俗言～然者。當是俄字之聲誤。 　〔按桐人即木～。字亦作寓。亦作禺〕。 ❷雙數也。《禮記郊特牲》：鼎俎奇而籩豆～。 ❸合也。見《爾雅釋詁》。 ❹諧也。《列子力命》：多～...,NO_WIKI_CONTEXT,CANDIDATE_COMPONENTS_WITH_DICTIONARY_CONTEXT_REVIEW_REQUIRED,COMPLETE,FINAL_STRUCTURE_LABEL_NOT_ASSIGNED;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,CNBE 8105 bounded standardizer pilot v2-no-legacy-structure
8105_core_control_007,冁,U+5181,20865,8105_national_standard_core,三级,8023,national_standard_then_core_reference_then_network_cross_reference,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,左右,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,⿰单展,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,单 展,单 展,,,丶 丿 亠,8105_encoding_comparison.standard.components; GF 0014-2009 现代常用字部件及部件名称规范 + yuanliu_chars.json IDS分解,丷,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,18,4 3 2 5 1 1 1 2 5 1 3 1 2 2 1 5 3 4,PASS_STANDARD_DERIVED_STROKE_ORDER,6,6,50,0,NO_DICTIONARY_CONTEXT,【丑集上】【口字部】,【集韻】丑展切，音蕆。囅然笑貌。　又【類篇】敕列切，音徹。義同。◎按辴囅二字，諸韻書音義大同小異，應卽一字，譌分爲二。,,NO_WIKI_CONTEXT,CANDIDATE_COMPONENTS_REVIEW_REQUIRED,COMPLETE,FINAL_STRUCTURE_LABEL_NOT_ASSIGNED;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,CNBE 8105 bounded standardizer pilot v2-no-legacy-structure
8105_core_control_009,勾,U+52FE,21246,8105_national_standard_core,一级,158,national_standard_then_core_reference_then_network_cross_reference,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,右上包,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,⿹勹厶,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,厶 勹,,厶 勹,,厶 丿,8105_encoding_comparison.standard.components; GF 0014-2009 现代常用字部件及部件名称规范 + yuanliu_chars.json IDS分解,勹,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,4,3 5 5 4,PASS_STANDARD_DERIVED_STROKE_ORDER,6,6,50,0,HAS_DICTIONARY_CONTEXT,【子集下】【勹字部】,【篇海】古侯切，音溝。又古𠋫切，音遘。勾本作句。,1、勾讀音：古侯切，音溝，尤韻。〔本作句〕。釋文： ❶樂譜也。《宋史樂志》：蕤賓用～字。〔餘詳一字〕。 ❷日本以地面傾斜之度曰～配。 ❸日水裁判所發强制命令。召人訉問。名曰～引狀。吾國稱之曰拘票。 2、够釋文：同夠。見《字彙》。,NO_WIKI_CONTEXT,CANDIDATE_COMPONENTS_WITH_DICTIONARY_CONTEXT_REVIEW_REQUIRED,COMPLETE,FINAL_STRUCTURE_LABEL_NOT_ASSIGNED;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,CNBE 8105 bounded standardizer pilot v2-no-legacy-structure
8105_core_control_010,厥,U+53A5,21413,8105_national_standard_core,二级,5112,national_standard_then_core_reference_then_network_cross_reference,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,左上包,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,⿸厂欮,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,欮 厂,厂,欮,,人 屮 厂,8105_encoding_comparison.standard.components; GF 0014-2009 现代常用字部件及部件名称规范 + yuanliu_chars.json IDS分解,厂,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,12,1 3 4 3 1 5 2 3 3 5 3 4,PASS_STANDARD_DERIVED_STROKE_ORDER,6,6,50,0,HAS_DICTIONARY_CONTEXT,【子集下】【厂字部】,〔古文〕氒〈氏下可〉𨈑𨈐𣅞【唐韻】【集韻】【韻會】𠀤居月切，音蕨。【說文】發石也。从厂，欮聲。【玉篇】短也。【爾雅·釋言】其也。【周禮·地官·鄕大夫之職】厥明。【註】其也。又【前漢·諸侯王表】漢諸侯王厥角稽首。【註】應劭曰：厥者，頓也。角者，頟角也。又姓。【韻會】京兆人，漢賜衡山王妾厥氏。又【韻會】九勿切，音𠜾。突厥世居金山，工於鐵作，金山狀如兜鍪。俗...,1、厥讀音：古月切，音蕨，月韻。釋文： ❶發石也。見《說文》。《段注》：發石故从厂。引伸之凡有撅發皆曰～。若釋言曰～其也。此假借也。假借盛行而本義廢矣。 ❷掘也。《山海經海外北經》：相柳之所抵～爲澤溪。《郭注》：抵、觸。～、掘也。 ❸猶豎也。《漢書諸王侯表》：～角崇首。《晉灼注》：叩頭則頭角豎。〔應劭曰。～者、頓也〕。 ❹盡也。《素問陰陽離合論》：～陰...,NO_WIKI_CONTEXT,CANDIDATE_COMPONENTS_WITH_DICTIONARY_CONTEXT_REVIEW_REQUIRED,COMPLETE,FINAL_STRUCTURE_LABEL_NOT_ASSIGNED;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,CNBE 8105 bounded standardizer pilot v2-no-legacy-structure
8105_core_control_015,圄,U+5704,22276,8105_national_standard_core,二级,4515,national_standard_then_core_reference_then_network_cross_reference,,NO_PROPOSED_CNBE32_BEFORE_REVIEW,全包围,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,⿴囗吾,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,吾 囗,吾,囗,,一 冂 二 丨,8105_encoding_comparison.standard.components; GF 0014-2009 现代常用字部件及部件名称规范 + yuanliu_chars.json IDS分解,囗,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,10,2 5 1 2 5 1 2 5 1 1,PASS_STANDARD_DERIVED_STROKE_ORDER,6,6,50,0,NO_DICTIONARY_CONTEXT,【丑集上】【囗字部】,【唐韻】魚呂切【集韻】偶舉切【韻會】【正韻】偶許切，𠀤音語。獄名。【說文】守之也。【禮·月令】省囹圄。【註】圄，止也。所以止罪人出入於舍。【初學記】囹，領也。圄，禦也。言領錄囚徒禁禦也。一曰囹，令也。圄，悟也。令罪人入其中，自悔悟也。【左傳·宣四年】圄伯嬴于轑陽而殺之。　又與圉同。【說文】囹圄作囹圉，所以拘罪人也。【書·禹貢】西傾朱圉。【前漢·地理志】...,1、圄讀音：偶舉切，音語，語韻。釋文： ❶守之也。見《說文》。《桂注》：賈誼書。守～扞敵之臣。鄭注周禮司右引司馬法。弓矢圍。今司馬法作弓矢禦。馥謂守禦字古作～。圍者～之譌也。韻會云。案說文～守也。圉令圉也。禦祀也。今文～爲囹～字。圉爲牧圉字。禦爲守禦字。經傳中相承用之久矣。 ❷禦也。言領錄囚徒禁禦之也。見《初學記》。 ❸悟也。令罪人入其中自悔悟也。見《...,NO_WIKI_CONTEXT,CANDIDATE_COMPONENTS_REVIEW_REQUIRED,COMPLETE,FINAL_STRUCTURE_LABEL_NOT_ASSIGNED;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,CNBE 8105 bounded standardizer pilot v2-no-legacy-structure
