row_id,character,unicode_codepoint,standard_rank,original_structure,original_decomposition,original_components,proposed_structure,proposed_decomposition,proposed_components,radical,fill_rule,evidence_layer,authority_boundary,confidence,blocker,review_status,cnbe_write_status,database_rebuild_status,zdic_url
8105_full_0001,一,U+4E00,1,独体字,?,一,独体字,一,一,一,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E4%B8%80
8105_full_0002,乙,U+4E59,2,独体字,?,乙,独体字,乙,乙,乙,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E4%B9%99
8105_full_0006,厂,U+5382,6,独体字,?,厂,独体字,厂,厂,厂,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E5%8E%82
8105_full_0009,八,U+516B,9,独体字,?,八,独体字,八,八,八,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E5%85%AB
8105_full_0010,人,U+4EBA,10,独体字,?,人,独体字,人,人,人,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E4%BA%BA
8105_full_0011,入,U+5165,11,独体字,?,入,独体字,入,入,入,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E5%85%A5
8105_full_0016,刁,U+5201,16,独体字,?,刁,独体字,刁,刁,刁,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E5%88%81
8105_full_0021,又,U+53C8,21,独体字,?,又,独体字,又,又,又,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E5%8F%88
8105_full_0028,士,U+58EB,28,独体字,?,士,独体字,士,士,士,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E5%A3%AB
8105_full_0031,寸,U+5BF8,31,独体字,?,寸,独体字,寸,寸,寸,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E5%AF%B8
8105_full_0063,弓,U+5F13,63,独体字,?,弓,独体字,弓,弓,弓,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E5%BC%93
8105_full_0067,女,U+5973,67,独体字,?,女,独体字,女,女,女,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E5%A5%B3
8105_full_0102,牙,U+7259,102,独体字,?,牙,独体字,牙,牙,牙,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E7%89%99
8105_full_0104,戈,U+6208,104,独体字,?,戈,独体字,戈,戈,戈,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E6%88%88
8105_full_0108,瓦,U+74E6,108,独体字,?,瓦,独体字,瓦,瓦,瓦,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E7%93%A6
8105_full_0120,牛,U+725B,120,独体字,?,牛,独体字,牛,牛,牛,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E7%89%9B
8105_full_0121,手,U+624B,121,独体字,?,手,独体字,手,手,手,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E6%89%8B
8105_full_0151,氏,U+6C0F,151,独体字,?,氏,独体字,氏,氏,氏,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E6%B0%8F
8105_full_0174,心,U+5FC3,174,独体字,?,心,独体字,心,心,心,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E5%BF%83
8105_full_0296,鸟,U+9E1F,296,独体字,?,鸟,独体字,鸟,鸟,鸟,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E9%B8%9F
8105_full_0343,矛,U+77DB,343,独体字,?,矛,独体字,矛,矛,矛,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E7%9F%9B
8105_full_0345,母,U+6BCD,345,独体字,?,母,独体字,母,母,母,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E6%AF%8D
8105_full_0392,而,U+800C,392,独体字,?,而,独体字,而,而,而,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E8%80%8C
8105_full_0462,臼,U+81FC,462,独体字,?,臼,独体字,臼,臼,臼,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E8%87%BC
8105_full_0786,身,U+8EAB,786,独体字,?,身,独体字,身,身,身,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E8%BA%AB
8105_full_3504,弋,U+5F0B,3504,独体字,?,弋,独体字,弋,弋,弋,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E5%BC%8B
8105_full_3505,孑,U+5B51,3505,独体字,?,孑,独体字,孑,孑,孑,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E5%AD%91
8105_full_3507,幺,U+5E7A,3507,独体字,?,幺,独体字,幺,幺,幺,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E5%B9%BA
8105_full_3527,毋,U+6BCB,3527,独体字,?,毋,独体字,毋,毋,毋,single_component_identity_decomposition,standard_derived_agent_rule,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,HIGH_REVIEW_REQUIRED,REVIEW_REQUIRED_BEFORE_MERGE,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E6%AF%8B
